-3.08,-4.07,-20.87,0.28,-0.2,0.96,2,5
-2.6,-6.93,-23.39,0.26,-0.24,0.98,2,109
-1.15,-5.13,-23.15,0.28,-0.24,0.99,2,214
0.41,0.95,-15.71,0.29,-0.25,1,2,318
5.38,-3.65,-24.46,0.06,-0.06,0.86,2,422
-19.15,43.25,-79.58,0.22,0.17,0.73,2,527
-2.81,-84.76,-89.23,0.94,-0.48,1.33,2,631
39.92,68.55,29.2,0.78,-0.45,1.13,2,736
-4.67,34.26,7.35,0.16,-0.23,0.8,2,840
0.37,-9.02,-26.32,-0.46,0.22,0.58,2,944
-27.76,-54.69,-91.21,0.14,-0.01,0.95,2,1048
-18.17,-7.72,-36.28,1.15,-0.76,1.62,2,1153
6.78,82.42,45.07,0.47,-0.28,1.07,2,1257
28.92,51.08,17.81,-0.1,-0.2,1.3,2,1361
5.75,34.94,25.45,-0.17,-0.12,1.36,2,1466
11.98,99.21,1.73,0.06,-0.15,1.06,2,1570
-16.73,157,11.44,-0.16,-0.18,0.79,2,1675
-15.12,97.26,17.81,-0.4,-0.05,0.57,2,1779
-3.67,68.18,-1.76,-0.33,0.03,0.58,2,1884
2.55,64.9,-6.67,-0.64,0.03,0.54,2,1988
28.4,39.92,-46.1,-1.26,0.42,0.16,2,2093
51.01,-54.02,-128.79,-0.7,0.03,0.21,2,2197
18.6,-5.01,-25.37,0.2,-0.6,1.44,2,2301
-40.08,69.69,45.89,-0.79,0.01,0.4,2,2406
-15.47,25.81,18.33,-1.16,0.31,0.11,2,2510
12.5,-45.05,-76.18,-1.2,0.38,0.03,2,2615
10.68,-47.3,-111.52,-0.43,-0.07,0.33,2,2719
-64.43,26.79,3.79,-0.12,-0.34,0.79,2,2824
45.06,-23.8,9.73,-0.57,-0.05,0.24,2,2928
-33.86,-98.03,-33.02,-0.7,0.03,0.48,2,3033
11.24,-166.25,-53.41,-0.49,-0.32,1.04,2,3137
10.99,-119.96,-57.19,-0.45,-0.28,1.23,2,3241
-12.77,-108.61,-84.99,-0.04,-0.28,1.45,2,3346
0.51,-24.02,-35.99,-0.07,-0.34,1.14,2,3450
-7.5,-22.67,-24.6,-0.23,-0.1,0.92,2,3555
2.2,-8,-96.65,-0.39,0.21,0.69,2,3659
-45.51,-70.17,-102.02,0.83,-0.81,1.33,2,3764
52.63,44.54,59.12,0.74,-0.51,1.15,2,3868
7.96,29.05,55.32,0.01,-0.28,0.76,2,3973
5.31,-12.1,-27.79,-0.6,0.42,0.62,2,4077
11.73,-50.15,-100.18,0.11,-0.06,0.87,2,4182
8.89,-15.92,-27.61,1.05,-0.94,1.75,2,4286
-7.72,104.15,42.89,0.23,-0.31,1.09,2,4390
51.69,40.47,-6.24,-0.23,-0.14,1.23,2,4495
10.84,66.26,0.87,-0.18,-0.01,1.03,2,4599
-22.65,75.39,24.33,-0.14,-0.14,0.88,2,4704
-2.59,138.34,25.17,-0.28,-0.05,0.59,2,4808
-17.69,64.96,-1.09,-0.46,-0.03,0.52,2,4913
-16.47,52.18,-3.47,-0.56,-0.01,0.6,2,5016
-42.53,33.31,-23.25,-1,0.24,0.49,2,5121
55.59,-2.83,-100.48,-1.18,0.15,0.12,2,5225
68.16,-91.08,-99.56,0.28,-0.77,1.49,2,5329
-21.45,71.05,69.02,-0.36,-0.37,0.72,2,5435
-24.44,37.02,62.57,-0.9,0.05,0.25,2,5538
-38.79,27.65,-16.34,-1.33,0.53,0.04,2,5643
17.55,-55.42,-132.02,-1.01,0.26,0.04,2,5748
149.77,-106.21,-85.42,0.48,-0.9,1.57,2,5853
-45.66,34.54,57.37,-0.34,-0.34,0.37,2,5957
-69.1,-67.4,-25.39,-0.77,0.22,0.34,2,6062
-20.22,-141.25,-98.98,-0.77,-0.03,0.5,2,6166
-13.27,-146.03,-70.25,-0.42,-0.39,0.9,2,6270
6.48,-108.08,-49.36,-0.3,-0.46,1.08,2,6375
