14.21,47.16,-32.23,0.33,-0.47,1.08,3,6
-1.34,42.15,-29.51,0.23,-0.38,1.01,3,109
-14.73,34.73,-54.14,0.01,-0.34,0.91,3,214
-0.13,19.17,-33.29,0.12,-0.57,1.02,3,318
25.4,-15.76,-41.73,-0.21,-0.05,0.76,3,422
7.1,-8.76,-158.63,-0.02,0.04,0.69,3,527
-34.96,22.34,-57.23,1.09,-1.17,1.6,3,631
-5.92,27.06,35.45,0.25,-0.39,0.92,3,736
-13.4,-9.15,36.37,-0.23,-0.04,0.83,3,840
9.85,9.24,-73.01,-0.41,0.29,0.68,3,945
-51.94,-20.29,-157.14,0.64,-1.03,1.73,3,1049
-18.68,45.47,19.87,0.39,-0.7,1.19,3,1154
-75.3,83.7,33.31,-0.2,-0.38,0.9,3,1258
25.2,26.79,15.92,-0.28,-0.57,0.98,3,1362
29.47,63.74,24,-0.11,-0.46,1,3,1467
7.6,78.05,22.96,-0.3,-0.24,0.75,3,1571
-29.18,107.54,19.76,-0.51,-0.19,0.55,3,1676
-3.15,69.77,4.02,-0.56,-0.25,0.5,3,1780
-10.68,66.72,9.93,-0.76,-0.1,0.37,3,1885
12.53,28.31,-34.69,-1.27,0.22,0.01,3,1989
59.76,-5.24,-100.81,-0.65,-0.25,0.31,3,2094
-54.03,6.37,-6.48,0.04,-0.85,1.1,3,2197
-62.05,34.27,40.12,-1.01,0.04,0.12,3,2301
19.86,-4.27,-40.5,-1.34,0.28,-0.11,3,2406
48.74,-56.83,-111.51,-0.72,-0.06,0.08,3,2510
17.97,-65.66,-43.04,0.01,-0.71,1.04,3,2615
-21.01,-7.98,9.63,-0.45,-0.29,0.35,3,2719
-26.73,-75.04,-12.32,-0.64,-0.22,0.26,3,2824
-19.47,-175.65,-82.58,-0.44,-0.5,0.75,3,2928
-9.19,-108.17,-68.92,-0.35,-0.56,1.03,3,3033
-20.7,-47.08,-39.47,-0.29,-0.77,1.33,3,3138
21.75,-4.03,-13.37,-0.38,-0.46,0.98,3,3241
27.29,-26.23,-27.5,-0.37,-0.27,0.86,3,3346
-15.68,5,-120.94,-0.31,-0.03,0.63,3,3450
-20.59,-99.58,-111.53,0.74,-1.29,1.41,3,3556
30.77,9.3,54.44,0.4,-0.51,0.96,3,3659
-35.69,1.98,20.99,-0.2,-0.35,0.75,3,3764
14.62,18.48,-56.45,-0.56,0.21,0.74,3,3868
-9.47,-104.87,-148.47,0.51,-0.94,1.47,3,3973
5.58,66.49,40.11,0.31,-0.58,1.24,3,4077
-32.37,57.02,-13.08,-0.34,-0.41,0.94,3,4182
7.35,5.33,-7.15,-0.09,-0.62,1.1,3,4286
13.31,89.21,25.71,-0.13,-0.5,0.98,3,4390
6.47,100.01,12.7,-0.11,-0.43,0.85,3,4495
-6.83,89.95,26.98,-0.34,-0.32,0.61,3,4599
-2.53,49.02,6.44,-0.5,-0.34,0.53,3,4704
-18.46,55.56,30.41,-0.7,-0.18,0.39,3,4808
10.35,6.99,-23.34,-1.06,0.15,0.31,3,4913
71.31,16.2,-92.25,-0.98,-0.07,0.29,3,5017
17.25,-67.5,-75.89,0,-0.75,1.33,3,5122
-48.15,95.99,67.91,-0.62,-0.24,0.5,3,5226
-10.24,29.03,-8.85,-1.4,0.21,-0.04,3,5330
36.68,-33.37,-103.63,-1.01,0.01,0.04,3,5435
30.4,-82.79,-87.89,-0.26,-0.63,0.74,3,5539
-32.34,39.56,25.92,-0.44,-0.29,0.34,3,5644
3.36,-63.69,-22.97,-0.61,-0.24,0.26,3,5748
